text,Circulated as claim or as debunk or undecided,screen_name,user_id,tweet_id,retweet_count,created_at
Censure de l’enquête sur le compte offshore de Macron | #Europe #Israël news #EmmanuelMacron https://t.co/elk640qzc2,claim,Israelolizer,2830022739,854941880479612930,0,2017-04-20T06:16:43.000Z
@jeanpinou24 @FrancoisFillon Idem pour Macron et son compte offshore à Dubaï,claim,InfoPolitik1,845326402572472300,855501334497427456,0,2017-04-21T19:19:47.000Z
@MrNakor @bel_doron @FrancoisFillon @EmmanuelMacron @MLP_officiel Que #Macron déclaré son compte offshore et payé ses impots,claim,CrocdeGang,300834443,856248490170691588,0,2017-04-23T20:48:43.000Z
"@RMCinfo @JJBourdin_RMC @JLMelenchon https://t.co/6axImeeuP5
Censure de l’enquête sur le compte offshore de Macron",claim,chriscassard9,837613366810132500,854983781387829249,0,2017-04-20T09:03:12.000Z
"@Fillon2017_fr 
Censure de l’enquête sur le compte offshore de Macron 
https://t.co/YkNYG5znTx",claim,Yann_Lucide,493885192,855081447140491264,0,2017-04-20T15:31:18.000Z
"Censure de l’enquête sur le compte offshore de #Macron ?

https://t.co/LbCBS1i1Sw",claim,MietteColson,313876259,854957081333571584,0,2017-04-20T07:17:07.000Z
Compte #offshore #macron : censure ? #Presidentielle2017 #Election2017 #orangebank #JLM2017 #laforcedupeuple… https://t.co/mGCnpYJJvV,claim,SauceArachide,2349067166,855028678782308353,17,2017-04-20T12:01:37.000Z
Censure de l’enquête sur le compte offshore de Macron https://t.co/duatHpAM9R,claim,hangen_claude,851798726,854935280608059393,38,2017-04-20T05:50:29.000Z
"@BrunoRetailleau 
Censure de l’enquête sur le compte offshore de Macron 

https://t.co/YkNYG5znTx",claim,Yann_Lucide,493885192,855081660102184961,0,2017-04-20T15:32:09.000Z
Censure de l’enquête sur le compte offshore de #Macron par @canardenchaine  https://t.co/5sQ3pZssIt,claim,SocrateJ,492921549,855057645472030721,19,2017-04-20T13:56:43.000Z
Censure de l’enquête sur le compte offshore de Macron https://t.co/Op8Ec4Hu29,claim,Duroy41,2778103506,855388717070135296,0,2017-04-21T11:52:17.000Z
"#Macron , compte offshore caché, et silences complices des médias. #RadioLondres https://t.co/vdvuve6AtY",claim,Lili_Bay_,755807746860183600,855812865793675265,13,2017-04-22T15:57:42.000Z
Tiens tiens ! Macron serait titulaire d'un compte offshore #JamaisMacron #Marine2017 RT ! https://t.co/T9lFxYJGbF,claim,FlokiLibre,8.53545E+17,856889293918396417,0,2017-04-25T15:15:02.000Z
Censure de l’enquête sur le compte offshore de Macron | Europe Israël news https://t.co/NhHzHGIvVB,claim,Le65avecSarkozy,499673292,854998184824799232,4,2017-04-20T10:00:27.000Z
